run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,process_tree_cpu_seconds,process_tree_read_bytes,process_tree_write_bytes,commit_operations_per_second,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
006db74792484b3a90a6254558c50300,2026-09-23T23:26:48.402205+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,2,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,172.9491,32.239450000000005,9.0576,11.0763,4452352,450000,9.894115555555556,4002352,,not sampled,,52805632,0.75,11001992,34465092,29.104862491166674,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:26:49.361117+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,3,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,163.0744,26.0838,5.8598,10.7173,4448256,450000,9.885013333333333,3998256,,not sampled,,53329920,0.703125,11124872,34509117,36.472855988751775,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:26:50.418060+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,3,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,164.5758,28.0743,11.5128,11.8104,4448256,450000,9.885013333333333,3998256,,not sampled,,53243904,0.78125,11100296,34095041,34.13575105479471,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:00.665622+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,3,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,646.9929,720.2999,301.196,281.5769,2974699,450000,6.610442222222222,2524699,,not sampled,,153354240,9.34375,71255789,5806345,1.2953304619224852,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:27:01.850473+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,4,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,164.3753,32.93835,11.881,12.0722,4456448,450000,9.903217777777778,4006448,,not sampled,,53972992,0.8125,10936456,34432282,30.856178733798192,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:12.032677+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,4,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,645.9902,741.9902999999999,293.6313,333.4945,2975623,450000,6.612495555555555,2525623,,not sampled,,165265408,9.578125,71270457,5831977,1.3346961470792444,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:27:13.305392+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,4,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,170.426,34.999399999999994,5.5605,10.9366,4485120,450000,9.966933333333333,4035120,,not sampled,,53137408,0.8125,12775560,34153439,28.298109261829673,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:24.893223+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,5,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,989.0962,802.02535,276.3284,305.2906,2974832,450000,6.610737777777778,2524832,,not sampled,,153292800,10.671875,71261802,5847714,1.19147609423556,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
006db74792484b3a90a6254558c50300,2026-09-23T23:27:26.158455+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,5,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,167.6378,36.76075,7.3132,14.3538,4460544,450000,9.91232,4010544,,not sampled,,53264384,0.765625,10846344,34280548,27.966082734859164,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:27.298320+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,5,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,168.5241,32.0206,12.1351,12.9117,4481024,450000,9.957831111111112,4031024,,not sampled,,52981760,0.796875,11006088,34226717,32.05581301716044,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:28.394541+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,6,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,154.6319,29.7476,7.0756,14.1916,4472832,450000,9.939626666666667,4022832,,not sampled,,52785152,0.796875,10973320,34427608,32.44578957477846,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:29.553499+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,6,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,169.9377,29.4259,8.3285,13.2118,4444160,450000,9.875911111111112,3994160,,not sampled,,53940224,0.828125,10854536,34345668,32.18932473234577,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
006db74792484b3a90a6254558c50300,2026-09-23T23:27:41.307621+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,6,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1130.3726,816.97835,308.4374,299.7395,2974495,450000,6.609988888888889,2524495,,not sampled,,153911296,11.921875,71255218,5835683,1.1929532442733293,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,Dolt 2.3.1
