scenario,numerator_model,denominator_model,metric,paired_trials,median_paired_ratio,ci95_low,ci95_high,interpretation,ratio_direction,interval_method
large-sparse,Dolt,Revon-H,initial_import_ms,7,1.84484,1.56032,2.28519,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-sparse,Dolt,Revon-H,incremental_commit_ms,7,7.27412,5.76704,7.46703,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-sparse,Dolt,Revon-H,diff_ms,7,10.812,8.23,12.4157,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-sparse,Dolt,Revon-H,checkout_ms,7,4.00421,2.75809,4.38706,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-sparse,Revon-M (forced Merkle),Revon-H,diff_ms,7,1.28759,0.952905,1.55242,inconclusive: interval includes parity,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-sparse,Dolt,Dolt (bulk import),initial_import_ms,7,1.06887,1.00581,1.52386,denominator faster by a practically relevant margin,latency Dolt/Dolt (bulk import); above 1 favors Dolt (bulk import),paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Dolt,Revon-H,initial_import_ms,7,5.35392,4.89945,5.4452,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Dolt,Revon-H,incremental_commit_ms,7,6.95279,6.62597,7.5996,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Dolt,Revon-H,diff_ms,7,10.2866,8.96039,10.789,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Dolt,Revon-H,checkout_ms,7,15.681,13.5777,18.3831,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Revon-M (forced Merkle),Revon-H,diff_ms,7,0.998678,0.927222,1.50823,inconclusive: interval includes parity,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-dense,Dolt,Dolt (bulk import),initial_import_ms,7,1.154,0.90202,1.22839,inconclusive: interval includes parity,latency Dolt/Dolt (bulk import); above 1 favors Dolt (bulk import),paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Dolt,Revon-H,initial_import_ms,7,4.17731,2.814,5.0161,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Dolt,Revon-H,incremental_commit_ms,7,41.7758,31.6991,55.378,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Dolt,Revon-H,diff_ms,7,482.518,393.446,652.003,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Dolt,Revon-H,checkout_ms,7,16.7692,14.1219,35.3023,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Revon-M (forced Merkle),Revon-H,diff_ms,7,1.96826,1.51057,3.51152,denominator faster by a practically relevant margin,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
medium-sparse,Dolt,Dolt (bulk import),initial_import_ms,7,1.01804,0.956148,1.6243,inconclusive: interval includes parity,latency Dolt/Dolt (bulk import); above 1 favors Dolt (bulk import),paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Dolt,Revon-H,initial_import_ms,7,18.1339,15.3916,21.2993,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Dolt,Revon-H,incremental_commit_ms,7,70.0628,59.4614,73.4539,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Dolt,Revon-H,diff_ms,7,625.099,537.128,658.695,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Dolt,Revon-H,checkout_ms,7,308.336,217.58,319.533,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Revon-M (forced Merkle),Revon-H,diff_ms,7,2.08763,1.29166,3.76632,denominator faster by a practically relevant margin,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
small-sparse,Dolt,Dolt (bulk import),initial_import_ms,7,1.10073,0.673723,1.17473,inconclusive: interval includes parity,latency Dolt/Dolt (bulk import); above 1 favors Dolt (bulk import),paired percentile bootstrap of median trial ratio; 20000 resamples
