phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
evaluation,large-repeated-key,Revon-H,7,True,log,log operations,1168.8909,1123.2071999999998,1230.3220000000001,92.92214999999999,88.605075,99.44890000000001,1.992,1.7433,2.3791,243.0387,207.56380000000001,247.71044999999998,36151296.0,36147200.0,36159488.0,4500000.0,4500000.0,4500000.0,8.033621333333333,8.03271111111111,8.035441777777777,31651296.0,31647200.0,31659488.0,35336192.0,35336192.0,35336192.0,975.4561,975.4561,975.4561,181428224.0,180207616.0,183580672.0,1000.0,1000.0,1000.0
evaluation,large-repeated-key,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1147.8967,1037.10445,1182.25385,99.2405,94.5629,103.15972500000001,7.151,5.7188,8.2741,221.043,187.8937,244.7829,36151296.0,36134912.0,36161536.0,4500000.0,4500000.0,4500000.0,8.033621333333333,8.029980444444444,8.035896888888889,31651296.0,31634912.0,31661536.0,35340288.0,35340288.0,35340288.0,875.8151,875.8151,875.8151,180379648.0,178251776.0,184432640.0,2001.0,2001.0,2001.0
evaluation,large-repeated-key,Snapshot,7,True,full-scan,keys,60.8151,58.90175,64.75720000000001,52.32965,48.90095,56.699675,488.9689,472.62485000000004,523.11615,113.4392,107.05015,116.27905000000001,56100011.0,56100011.0,56100011.0,4500000.0,4500000.0,4500000.0,12.466669111111111,12.466669111111111,12.466669111111111,51600011.0,51600011.0,51600011.0,,,,,,,153272320.0,149338112.0,157495296.0,100010.0,100010.0,100010.0
evaluation,large-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,2619.0833,2378.1041,2811.4455500000004,1200.2961,903.850825,1300.474025,483.0822,424.04195000000004,513.3235,1128.2487,806.6321499999999,1187.40245,8793967.0,8793817.0,8794280.5,4500000.0,4500000.0,4500000.0,1.9542148888888888,1.9541815555555555,1.9542845555555557,4293967.0,4293817.0,4294280.5,4006670.0,4006670.0,4006670.0,1539.0517,1539.0517,1539.0517,252280832.0,241192960.0,259977216.0,,,
evaluation,large-sparse,Dolt (bulk import),7,True,dolt-native,not exposed by Dolt CLI,2080.0871,1843.156,2385.9383,1107.8787499999999,910.09635,1239.115825,452.695,387.22069999999997,471.38239999999996,977.3363,831.6928,1102.4562,8232569.0,8232447.0,8232706.0,4500000.0,4500000.0,4500000.0,1.8294597777777777,1.8294326666666665,1.8294902222222222,3732569.0,3732447.0,3732706.0,4209861.0,4209861.0,4209861.0,764.4766,764.4766,764.4766,221663232.0,220702720.0,242632704.0,,,
evaluation,large-sparse,Log-only,7,True,operation-log,operations,64.0352,58.834199999999996,89.0951,3.19435,3.108625,3.6292,30.1321,27.8693,35.2469,193.9209,150.9023,214.20855,5241683.0,5241683.0,5241683.0,4500000.0,4500000.0,4500000.0,1.1648184444444445,1.1648184444444445,1.1648184444444445,741683.0,741683.0,741683.0,,,,,,,150159360.0,149952512.0,154744832.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-H,7,True,log,log operations,1352.9886,1185.8168500000002,1542.05865,180.96245,120.15032500000001,219.7148,46.8336,42.68815,56.852500000000006,280.6876,215.99695,281.8677,36089856.0,36085760.0,36100096.0,4500000.0,4500000.0,4500000.0,8.019968,8.019057777777778,8.022243555555555,31589856.0,31585760.0,31600096.0,35336192.0,35336192.0,35336192.0,1382.1401,1382.1401,1382.1401,185233408.0,185055232.0,187285504.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1634.3681,1241.12905,1953.41635,170.34175,119.46945,219.9668,65.7279,45.508300000000006,80.92765,235.1125,219.85055,266.16125,36110336.0,36104192.0,36124672.0,4500000.0,4500000.0,4500000.0,8.024519111111111,8.023153777777779,8.027704888888888,31610336.0,31604192.0,31624672.0,35344384.0,35344384.0,35344384.0,973.6762,973.6762,973.6762,181067776.0,178964480.0,185128960.0,4169.0,4169.0,4169.0
evaluation,large-sparse,Snapshot,7,True,full-scan,keys,73.3696,57.9148,97.75585000000001,74.60245,53.485125000000004,79.42035,617.0634,520.0708,771.6315999999999,191.3672,126.6954,233.48465,56100011.0,56100011.0,56100011.0,4500000.0,4500000.0,4500000.0,12.466669111111111,12.466669111111111,12.466669111111111,51600011.0,51600011.0,51600011.0,,,,,,,157974528.0,153024512.0,158222336.0,100010.0,100010.0,100010.0
evaluation,medium-dense,Dolt,7,True,dolt-native,not exposed by Dolt CLI,918.5577,877.6777999999999,938.41395,895.09285,857.567975,1005.987575,488.4225,483.95955000000004,515.6990000000001,317.7046,277.7932,334.96074999999996,5081673.0,5081465.0,5081797.5,450000.0,450000.0,450000.0,11.292606666666666,11.292144444444444,11.292883333333332,4631673.0,4631465.0,4631797.5,2349436.0,2349436.0,2349436.0,768.6129,768.6129,768.6129,159903744.0,156792832.0,163639296.0,,,
