run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:31.496707+00:00,calibration,calibration-c1,Revon-M (forced Merkle),ok,measured,4,1,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,merkle,merkle,0,204.4618,9.6862,0.2026,10.7141,2621440,450000,5.8254222222222225,2171440,,not sampled,,44597248,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",104,tree node pairs,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:32.344383+00:00,calibration,calibration-c1,Revon-log calibration,ok,measured,4,2,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,log,log,0,245.3641,13.6659,0.1637,12.1976,2621440,450000,5.8254222222222225,2171440,,not applicable,,44744704,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",4,log operations,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:33.071100+00:00,calibration,calibration-c1,Revon-log calibration,ok,measured,5,1,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,log,log,0,175.4122,9.384350000000001,0.2353,13.8037,2625536,450000,5.834524444444445,2175536,,not applicable,,45137920,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",4,log operations,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:33.829043+00:00,calibration,calibration-c1,Revon-M (forced Merkle),ok,measured,5,2,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,merkle,merkle,0,173.7202,9.0394,0.1864,11.0468,2629632,450000,5.843626666666666,2179632,,not sampled,,44945408,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",104,tree node pairs,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:34.452833+00:00,calibration,calibration-c1,Revon-M (forced Merkle),ok,measured,6,1,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,merkle,merkle,0,152.0047,9.509599999999999,0.1877,9.9715,2621440,450000,5.8254222222222225,2171440,,not sampled,,45133824,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",104,tree node pairs,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:35.092665+00:00,calibration,calibration-c1,Revon-log calibration,ok,measured,6,2,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,log,log,0,160.4653,9.85575,0.1377,10.2704,2625536,450000,5.834524444444445,2175536,,not applicable,,44793856,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",4,log operations,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:35.802170+00:00,calibration,calibration-c1,Revon-log calibration,ok,measured,7,1,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,log,log,0,178.5869,11.70495,0.1239,11.2027,2617344,450000,5.81632,2167344,,not applicable,,45154304,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",4,log operations,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:36.547970+00:00,calibration,calibration-c1,Revon-M (forced Merkle),ok,measured,7,2,20260822,10000,4,1,spread,32,bbb013782fb23e93e848ca04036af792b8c3863430dfc1d4e6ef4135df4db3e5,merkle,merkle,0,198.7794,11.178650000000001,0.2375,10.4861,2617344,450000,5.81632,2167344,,not sampled,,45117440,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",104,tree node pairs,4,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:37.289892+00:00,calibration,calibration-c4,Revon-M (forced Merkle),ok,warmup,1,1,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,merkle,merkle,0,149.9086,11.562100000000001,0.3396,10.4846,2719744,450000,6.043875555555555,2269744,,not sampled,,45076480,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",289,tree node pairs,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:38.269696+00:00,calibration,calibration-c4,Revon-log calibration,ok,warmup,1,2,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,log,log,0,154.8339,10.97735,0.1601,10.2179,2719744,450000,6.043875555555555,2269744,,not applicable,,45092864,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",16,log operations,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:38.968083+00:00,calibration,calibration-c4,Revon-log calibration,ok,warmup,2,1,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,log,log,0,163.4787,11.05075,0.1953,11.3316,2736128,450000,6.080284444444445,2286128,,not applicable,,45449216,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",16,log operations,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:39.565331+00:00,calibration,calibration-c4,Revon-M (forced Merkle),ok,warmup,2,2,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,merkle,merkle,0,142.3645,11.3827,0.3425,9.8362,2732032,450000,6.071182222222222,2282032,,not sampled,,44752896,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",289,tree node pairs,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:40.237640+00:00,calibration,calibration-c4,Revon-log calibration,ok,measured,1,1,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,log,log,0,180.9206,11.00865,0.1681,11.6839,2727936,450000,6.06208,2277936,,not applicable,,44756992,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",16,log operations,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:40.969223+00:00,calibration,calibration-c4,Revon-M (forced Merkle),ok,measured,1,2,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,merkle,merkle,0,170.8476,12.8869,0.331,10.6202,2727936,450000,6.06208,2277936,,not sampled,,44847104,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",289,tree node pairs,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
b7a4ec7b610742d9b827f43fd5092fe2,2026-09-23T07:14:41.635898+00:00,calibration,calibration-c4,Revon-M (forced Merkle),ok,measured,2,1,20260823,10000,4,4,spread,32,c95352c92bb8395bb3542492372581739e11b3dc09d53484c45b4e637edffc0f,merkle,merkle,0,155.4514,10.06275,0.3217,10.0789,2740224,450000,6.089386666666667,2290224,,not sampled,,45662208,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",289,tree node pairs,16,True,,3.14.3,Windows-11-10.0.26200-SP0,
