phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,peak_memory_bytes_median,peak_memory_bytes_p25,peak_memory_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
evaluation,medium-dense,Dolt,7,True,dolt-native,not exposed by Dolt CLI,782.3015,771.0086,813.18965,659.4902500000001,650.555975,683.45865,326.0113,308.07804999999996,356.2987,207.364,203.6711,222.39035,5108845.0,5108481.5,5109113.5,,,,,,
evaluation,medium-dense,Log-only,7,True,operation-log,operations,76.742,72.67585,77.4401,27.609450000000002,26.8993,28.956575,91.6638,89.06055,97.49955,92.2895,86.61045,97.38225,1929683.0,1929683.0,1929683.0,5695067.0,5695067.0,5695067.0,10000.0,10000.0,10000.0
evaluation,medium-dense,Snapshot,7,True,full-scan,keys,86.1323,75.70875000000001,92.84395,74.6565,63.9692,81.0718,46.2346,43.9683,56.3829,15.392,14.0196,17.94735,5610011.0,5610011.0,5610011.0,5579670.0,5579670.0,5579670.0,10010.0,10010.0,10010.0
evaluation,medium-sparse,Chronos-H,7,True,log,log operations,1380.0433,1336.617,1401.6562,33.1667,32.921175,33.77925,0.553,0.54815,0.5612999999999999,5.8743,5.7509,6.2671,3055616.0,3043328.0,3061760.0,10118495.0,10118495.0,10118495.0,100.0,100.0,100.0
evaluation,medium-sparse,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,1331.9828,1316.6684,1348.80735,31.147550000000003,30.736325,31.985825,4.8332,4.77905,4.989,5.8228,5.64515,6.12115,3055616.0,3055616.0,3059712.0,10118495.0,10118495.0,10118495.0,1141.0,1141.0,1141.0
evaluation,medium-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1580.2,1519.5551999999998,1841.2137,1239.8298,1226.0333500000002,1268.2553,306.4708,294.5455,331.0564,522.9265,510.40805,577.3756,967829.0,967283.5,967938.5,,,,,,
evaluation,medium-sparse,Log-only,7,True,operation-log,operations,65.8068,60.96965,72.4657,3.97105,3.7885,4.100625,1.6128,1.5206,1.9506999999999999,16.0861,15.46695,19.12715,523883.0,523883.0,523883.0,2328682.0,2328682.0,2328682.0,100.0,100.0,100.0
evaluation,medium-sparse,Snapshot,7,True,full-scan,keys,58.7511,58.16765,60.09975,58.5002,56.971275000000006,58.696625,41.7525,39.999449999999996,42.266149999999996,15.0284,13.778649999999999,15.95495,5610011.0,5610011.0,5610011.0,5579670.0,5579670.0,5579670.0,10010.0,10010.0,10010.0
evaluation,small-sparse,Chronos-H,7,True,log,log operations,177.335,175.68290000000002,186.77280000000002,19.4738,18.305100000000003,21.656225,0.4167,0.37334999999999996,0.4884,1.769,1.3849,2.0554,737280.0,737280.0,741376.0,1688120.0,1688120.0,1688120.0,100.0,100.0,100.0
evaluation,small-sparse,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,188.8257,177.95065,196.00495,19.7909,18.4481,20.487725,2.4803,2.1271,2.6803,1.381,1.28855,1.4737,749568.0,745472.0,751616.0,1688120.0,1688120.0,1688120.0,635.0,635.0,635.0
evaluation,small-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,871.9114,760.29205,1415.44895,728.2434000000001,700.248375,1185.636625,188.9062,185.55875,242.6096,218.3462,203.95479999999998,281.3177,403791.0,403732.0,403987.5,,,,,,
evaluation,small-sparse,Log-only,7,True,operation-log,operations,8.1446,7.7039,8.444099999999999,3.43485,3.3708,3.6685,1.1801,1.08965,1.45665,2.197,2.0959,2.4981,64883.0,64883.0,64883.0,363514.0,363514.0,363514.0,100.0,100.0,100.0
evaluation,small-sparse,Snapshot,7,True,full-scan,keys,10.0162,7.5017499999999995,10.24265,9.162500000000001,8.198225,9.5461,3.4627,3.1344,4.0519,1.5755,1.31525,1.92465,561011.0,561011.0,561011.0,517567.0,517531.0,517623.0,1010.0,1010.0,1010.0
