phase,scenario,model,trial,metric,value,median,p25,p75,lower_fence,upper_fence,ratio_to_median,classification
evaluation,small-sparse,Dolt,2,storage_bytes,405501.0,403791.0,403732.0,403987.5,403348.75,404370.75,1.0042348640757224,non-timing variability candidate; retained and reviewed
evaluation,small-sparse,Log-only,7,initial_import_ms,12.3144,8.1446,7.7039,8.444099999999999,6.593600000000002,9.554399999999998,1.511971121970385,timing variability candidate; retained in summary
evaluation,small-sparse,Log-only,7,incremental_commit_ms,4.33965,3.43485,3.3708,3.6685,2.9242500000000002,4.11505,1.263417616489803,timing variability candidate; retained in summary
evaluation,small-sparse,Log-only,6,diff_ms,2.4715,1.1801,1.08965,1.45665,0.53915,2.00715,2.0943140411829506,timing variability candidate; retained in summary
evaluation,small-sparse,Log-only,6,checkout_ms,5.3584,2.197,2.0959,2.4981,1.4925999999999997,3.1014,2.438962221210742,timing variability candidate; retained in summary
evaluation,small-sparse,Revon-H,2,storage_bytes,757760.0,737280.0,737280.0,741376.0,731136.0,747520.0,1.0277777777777777,non-timing variability candidate; retained and reviewed
evaluation,small-sparse,Revon-H,7,storage_bytes,729088.0,737280.0,737280.0,741376.0,731136.0,747520.0,0.9888888888888889,non-timing variability candidate; retained and reviewed
evaluation,small-sparse,Revon-M (forced Merkle),7,diff_ms,4.9029,2.4803,2.1271,2.6803,1.2973000000000001,3.5100999999999996,1.9767366850784178,timing variability candidate; retained in summary
evaluation,small-sparse,Revon-M (forced Merkle),7,checkout_ms,4.4174,1.381,1.28855,1.4737,1.010825,1.7514249999999998,3.1986965966690803,timing variability candidate; retained in summary
evaluation,small-sparse,Revon-M (forced Merkle),3,storage_bytes,733184.0,749568.0,745472.0,751616.0,736256.0,760832.0,0.9781420765027322,non-timing variability candidate; retained and reviewed
