phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s2-range-local,Revon-M (forced Merkle),7,True,merkle,tree node pairs,152.801,149.029,166.1464,30.854100000000003,29.96125,31.296374999999998,10.5743,9.152750000000001,11.0525,11.752,11.5139,12.2636,4456448.0,4452352.0,4456448.0,450000.0,450000.0,450000.0,9.903217777777778,9.894115555555555,9.903217777777778,4006448.0,4002352.0,4006448.0,,,,,,,48975872.0,48857088.0,49244160.0,3720.0,3720.0,3720.0
robustness,robust-s2-repeated-key,Dolt,7,True,dolt-native,not exposed by Dolt CLI,774.3189,752.17715,799.73215,631.03765,625.4914249999999,686.262375,225.1702,221.88400000000001,268.74965,272.0039,238.76485000000002,290.02565000000004,804450.0,804263.5,804469.0,450000.0,450000.0,450000.0,1.7876666666666667,1.7872522222222222,1.787708888888889,354450.0,354263.5,354469.0,,,,,,,152358912.0,148140032.0,161050624.0,,,
robustness,robust-s2-repeated-key,Revon-H,7,True,log,log operations,157.0557,152.9558,165.8316,33.4437,32.0664,34.671775,0.9962,0.91935,1.0204499999999999,11.223,10.98515,11.364049999999999,4476928.0,4472832.0,4481024.0,450000.0,450000.0,450000.0,9.948728888888889,9.939626666666667,9.957831111111112,4026928.0,4022832.0,4031024.0,,,,,,,48578560.0,48334848.0,48777216.0,1000.0,1000.0,1000.0
robustness,robust-s2-repeated-key,Revon-M (forced Merkle),7,True,merkle,tree node pairs,157.6747,152.37275,178.89195,32.112849999999995,30.248625,36.50195,2.1045,2.0731,2.1513,11.1083,10.738,11.330749999999998,4456448.0,4446208.0,4466688.0,450000.0,450000.0,450000.0,9.903217777777778,9.880462222222222,9.925973333333333,4006448.0,3996208.0,4016688.0,,,,,,,48701440.0,48275456.0,48865280.0,1881.0,1881.0,1881.0
robustness,robust-s3-baseline,Dolt,7,True,dolt-native,not exposed by Dolt CLI,738.8082,732.3222499999999,819.42185,685.57635,671.436225,749.5692750000001,268.0758,248.4435,273.4495,278.9674,265.36019999999996,286.2795,2981460.0,2981362.0,2981669.5,450000.0,450000.0,450000.0,6.625466666666667,6.625248888888889,6.625932222222222,2531460.0,2531362.0,2531669.5,,,,,,,157679616.0,152782848.0,161859584.0,,,
robustness,robust-s3-baseline,Revon-H,7,True,log,log operations,153.5048,151.64024999999998,157.5482,30.5105,30.080975,31.112225,6.5663,6.11965,6.9665,12.4517,12.0644,13.69645,4493312.0,4485120.0,4499456.0,450000.0,450000.0,450000.0,9.985137777777778,9.966933333333333,9.99879111111111,4043312.0,4035120.0,4049456.0,,,,,,,48934912.0,48764928.0,49217536.0,1000.0,1000.0,1000.0
robustness,robust-s3-baseline,Revon-M (forced Merkle),7,True,merkle,tree node pairs,165.3754,159.106,170.0651,30.622700000000002,28.241750000000003,36.085925,9.3086,8.79265,11.3681,11.3239,10.56605,12.7769,4497408.0,4489216.0,4513792.0,450000.0,450000.0,450000.0,9.99424,9.976035555555555,10.030648888888889,4047408.0,4039216.0,4063792.0,,,,,,,49004544.0,48769024.0,49143808.0,3814.0,3814.0,3814.0
robustness,robust-s3-history-50,Dolt,7,True,dolt-native,not exposed by Dolt CLI,703.3082,692.9910500000001,803.72435,739.28235,702.45375,744.358975,414.5912,389.5451,440.7464,269.4149,258.3604,299.92415000000005,12943155.0,12943017.0,12943510.0,450000.0,450000.0,450000.0,28.762566666666668,28.76226,28.763355555555556,12493155.0,12493017.0,12493510.0,,,,,,,164073472.0,163659776.0,167618560.0,,,
robustness,robust-s3-history-50,Revon-H,7,True,merkle,tree node pairs,166.5326,145.0453,169.68965,48.6212,47.003425,50.608375,50.4804,47.815650000000005,51.78815,25.41,25.0437,27.454700000000003,11722752.0,11675648.0,11726848.0,450000.0,450000.0,450000.0,26.05056,25.945884444444445,26.059662222222222,11272752.0,11225648.0,11276848.0,,,,,,,67985408.0,67936256.0,68155392.0,4315.0,4315.0,4315.0
robustness,robust-s3-history-50,Revon-M (forced Merkle),7,True,merkle,tree node pairs,151.4546,148.35365000000002,157.54635000000002,44.31055,42.4023,47.1063,47.6956,46.30145,48.33935,23.942,22.95125,24.247799999999998,11759616.0,11724800.0,11763712.0,450000.0,450000.0,450000.0,26.13248,26.05511111111111,26.141582222222222,11309616.0,11274800.0,11313712.0,,,,,,,67891200.0,67747840.0,67946496.0,4315.0,4315.0,4315.0
robustness,robust-s3-payload-128,Dolt,7,True,dolt-native,not exposed by Dolt CLI,812.142,747.5739,829.4999,713.3861999999999,651.708975,729.01775,295.0638,257.62905,321.8553,258.2468,247.46305,341.2609,3268451.0,3268376.0,3268596.5,1410000.0,1410000.0,1410000.0,2.318050354609929,2.317997163120568,2.318153546099291,1858451.0,1858376.0,1858596.5,,,,,,,158359552.0,152188928.0,168323072.0,,,
robustness,robust-s3-payload-128,Revon-H,7,True,log,log operations,189.5102,181.2989,212.3948,41.53475,39.50435,47.715125,7.2063,6.80125,8.25675,17.6347,16.3708,19.8485,7643136.0,7639040.0,7655424.0,1410000.0,1410000.0,1410000.0,5.420663829787234,5.417758865248227,5.429378723404255,6233136.0,6229040.0,6245424.0,,,,,,,52854784.0,52402176.0,53024768.0,1000.0,1000.0,1000.0
robustness,robust-s3-payload-128,Revon-M (forced Merkle),7,True,merkle,tree node pairs,198.7683,190.71295,212.548,41.86745,38.796924999999995,48.975225,10.2049,9.95465,11.19145,16.1956,15.335249999999998,17.8814,7651328.0,7641088.0,7657472.0,1410000.0,1410000.0,1410000.0,5.4264737588652485,5.419211347517731,5.430831205673758,6241328.0,6231088.0,6247472.0,,,,,,,52486144.0,52342784.0,52690944.0,3814.0,3814.0,3814.0
robustness,robust-s3-range-local,Dolt,7,True,dolt-native,not exposed by Dolt CLI,747.0839,703.4980499999999,770.3978,631.52385,624.420575,652.8495,263.8056,244.62130000000002,284.01295,277.6776,272.09619999999995,281.19865,764264.0,764103.5,764322.0,450000.0,450000.0,450000.0,1.6983644444444443,1.6980077777777778,1.6984933333333334,314264.0,314103.5,314322.0,,,,,,,152813568.0,150743040.0,156381184.0,,,
robustness,robust-s3-range-local,Revon-H,7,True,log,log operations,168.0116,151.73284999999998,186.09640000000002,27.808149999999998,26.97455,32.462050000000005,6.2826,6.1765,6.6533999999999995,11.265,10.77035,12.5304,4476928.0,4474880.0,4489216.0,450000.0,450000.0,450000.0,9.948728888888889,9.944177777777778,9.976035555555555,4026928.0,4024880.0,4039216.0,,,,,,,49016832.0,48756736.0,49123328.0,1000.0,1000.0,1000.0
robustness,robust-s3-range-local,Revon-M (forced Merkle),7,True,merkle,tree node pairs,168.7974,148.8754,174.40465,30.9162,30.480375000000002,33.535825,10.573,9.619599999999998,11.061350000000001,11.4818,10.52085,12.11985,4460544.0,4460544.0,4491264.0,450000.0,450000.0,450000.0,9.91232,9.91232,9.980586666666667,4010544.0,4010544.0,4041264.0,,,,,,,49053696.0,48797696.0,49192960.0,3792.0,3792.0,3792.0
robustness,robust-s3-repeated-key,Dolt,7,True,dolt-native,not exposed by Dolt CLI,833.9928,778.7344,881.1224500000001,729.9631999999999,695.764025,759.43615,250.8893,238.365,260.47365,290.0887,270.22215,363.30675,804630.0,804510.5,804761.5,450000.0,450000.0,450000.0,1.7880666666666667,1.787801111111111,1.7883588888888888,354630.0,354510.5,354761.5,,,,,,,148365312.0,147793920.0,159199232.0,,,
robustness,robust-s3-repeated-key,Revon-H,7,True,log,log operations,168.3599,162.30355,180.57735,33.23315,30.551875000000003,34.013725,1.0192,0.9734,1.23225,12.1593,11.8203,14.139050000000001,4493312.0,4493312.0,4507648.0,450000.0,450000.0,450000.0,9.985137777777778,9.985137777777778,10.016995555555557,4043312.0,4043312.0,4057648.0,,,,,,,48881664.0,48408576.0,48932864.0,1000.0,1000.0,1000.0
robustness,robust-s3-repeated-key,Revon-M (forced Merkle),7,True,merkle,tree node pairs,184.1798,175.68065,205.2113,30.6337,27.948175,33.134325000000004,2.0535,1.9851,2.1972,10.5979,10.08615,12.44445,4481024.0,4481024.0,4497408.0,450000.0,450000.0,450000.0,9.957831111111112,9.957831111111112,9.994240000000001,4031024.0,4031024.0,4047408.0,,,,,,,48357376.0,48125952.0,48666624.0,1875.0,1875.0,1875.0
