run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:54.159388+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,2,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,225.7594,57.89345,13.6354,12.9438,4464640,450000,9.921422222222223,4014640,,not sampled,,48300032,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:55.862545+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,3,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,251.4523,43.5747,19.1286,22.4815,4423680,450000,9.8304,3973680,,not sampled,,48353280,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:57.483558+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,3,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,202.8517,55.58465,13.5861,20.0768,4489216,450000,9.976035555555555,4039216,,not sampled,,48701440,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:11.878790+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,3,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1243.8892,1052.28565,355.1999,313.2814,2974659,450000,6.610353333333333,2524659,,not sampled,,151400448,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:13.632575+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,4,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,281.7262,53.3127,15.1529,22.3486,4472832,450000,9.939626666666667,4022832,,not sampled,,48824320,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:29.077031+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,4,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1602.5196,1005.73105,370.8335,405.2635,2974454,450000,6.609897777777777,2524454,,not sampled,,148971520,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:31.005815+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,4,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,266.0171,62.96835,9.6024,22.0673,4460544,450000,9.91232,4010544,,not sampled,,48197632,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:45.848124+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,5,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1169.8002,1051.205,366.5157,368.2687,2975166,450000,6.61148,2525166,,not sampled,,148340736,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:48.110438+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,5,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,300.4865,60.11425,9.8122,18.084,4472832,450000,9.939626666666667,4022832,,not sampled,,48226304,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:31:49.629099+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,5,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,282.0035,42.982749999999996,12.135,18.0337,4468736,450000,9.930524444444444,4018736,,not sampled,,48885760,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
