run_id,timestamp_utc,status,trial_kind,trial,config,branching_factor,tree_depth,leaf_buckets,routing_bits,expected_leaf_occupancy,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,peak_memory_bytes,nodes_compared,matching_subtrees_skipped,leaf_entries_examined,new_nodes_per_commit,reused_references_per_commit,trie_bytes_per_commit,changed_keys,correctness,notes,python_version,platform
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:49:47.624981+00:00,ok,warmup,1,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1639.0461,165.52294999999998,54.7654,16.5092,4538368,11032543,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:49:53.320715+00:00,ok,warmup,2,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2285.116,265.77145,58.4471,13.9197,4550656,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:49:59.147532+00:00,ok,measured,1,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2828.9273,244.36795,47.0398,23.6801,4546560,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:05.106485+00:00,ok,measured,2,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,3048.1139,235.5119,37.955,11.4176,4550656,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:12.235790+00:00,ok,measured,3,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2678.5932,313.2437,47.4145,13.6209,4562944,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:18.354740+00:00,ok,measured,4,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2629.0002,280.6495,50.6003,12.0269,4554752,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:24.108035+00:00,ok,measured,5,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2831.3509,211.68894999999998,55.7849,15.8081,4562944,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:30.769575+00:00,ok,measured,6,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,3227.3096,291.43960000000004,64.6759,19.0485,4546560,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:40.008597+00:00,ok,measured,7,b4-d6,4,6,4096,12,2.44140625,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,4115.2964,380.22485,98.3088,24.2996,4571136,11029691,3628,1822,5682,348.5,621.5,97430.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:47.663192+00:00,ok,warmup,1,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,3021.8917,389.71835,32.5577,4.828,7200768,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:51.795834+00:00,ok,warmup,2,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1781.2074,175.67919999999998,42.0256,4.1777,7237632,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:50:56.604107+00:00,ok,measured,1,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1795.3036,233.76985000000002,44.4022,6.9679,7204864,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:51:01.276820+00:00,ok,measured,2,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,2039.589,212.947,29.9746,4.0148,7213056,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:51:05.653013+00:00,ok,measured,3,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1872.8771,205.3043,38.7972,4.6318,7213056,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:51:09.860862+00:00,ok,measured,4,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1814.4647,189.94995,35.7455,3.6927,7241728,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
6c0bfb623dfd44098f47108f1fb3c52b,2026-08-24T06:51:14.441028+00:00,ok,measured,5,b8-d3,8,3,512,9,19.53125,20260824,10000,10,100,spread,32,f49b3cf975a8fc6d972538f3495a77aeaa33240fb06beb62cb7f69ce6eb526ad,1778.1122,234.50785000000002,42.4661,5.3328,7249920,8230544,585,81,17048,151.0,327.5,136616.0,946,True,,3.14.3,Windows-11-10.0.26200-SP0
