config,branching_factor,tree_depth,leaf_buckets,routing_bits,expected_leaf_occupancy,trials,all_correct,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,peak_memory_bytes_median,peak_memory_bytes_p25,peak_memory_bytes_p75,nodes_compared_median,nodes_compared_p25,nodes_compared_p75,matching_subtrees_skipped_median,matching_subtrees_skipped_p25,matching_subtrees_skipped_p75,leaf_entries_examined_median,leaf_entries_examined_p25,leaf_entries_examined_p75,new_nodes_per_commit_median,new_nodes_per_commit_p25,new_nodes_per_commit_p75,reused_references_per_commit_median,reused_references_per_commit_p25,reused_references_per_commit_p75,trie_bytes_per_commit_median,trie_bytes_per_commit_p25,trie_bytes_per_commit_p75
b4-d6,4,6,4096,12,2.44140625,7,True,2831.3509,2753.76025,3137.71175,280.6495,239.93992500000002,302.34165,50.6003,47.227149999999995,60.2304,15.8081,12.8239,21.3643,4554752.0,4548608.0,4562944.0,11029691.0,11029691.0,11029691.0,3628.0,3628.0,3628.0,1822.0,1822.0,1822.0,5682.0,5682.0,5682.0,348.5,348.5,348.5,621.5,621.5,621.5,97430.0,97430.0,97430.0
b8-d3,8,3,512,9,19.53125,7,True,1795.3036,1718.13,1843.6709,207.04985,200.96065000000002,223.358425,36.0876,35.737700000000004,40.63164999999999,4.0336,3.909,4.9823,7229440.0,7213056.0,7245824.0,8230544.0,8230544.0,8230544.0,585.0,585.0,585.0,81.0,81.0,81.0,17048.0,17048.0,17048.0,151.0,151.0,151.0,327.5,327.5,327.5,136616.0,136616.0,136616.0
b8-d4,8,4,4096,12,2.44140625,7,True,2689.862,2602.09445,2776.1546,209.0324,205.2688,213.30622499999998,52.6469,45.43815,54.834,12.9628,11.559750000000001,15.203700000000001,4464640.0,4458496.0,4470784.0,10118495.0,10118495.0,10118495.0,3729.0,3729.0,3729.0,2373.0,2373.0,2373.0,5682.0,5682.0,5682.0,249.5,249.5,249.5,896.0,896.0,896.0,106932.0,106932.0,106932.0
b8-d5,8,5,32768,15,0.30517578125,7,True,3749.8975,3551.9433,4155.1368,270.90375,264.172975,295.521,69.5451,64.69935,76.27895,29.156,27.69465,36.95785,6467584.0,6455296.0,6473728.0,14913909.0,14913909.0,14913909.0,6089.0,6089.0,6089.0,3802.0,3802.0,3802.0,2426.0,2426.0,2426.0,349.0,349.0,349.0,1079.0,1079.0,1079.0,119042.0,119042.0,119042.0
b16-d3,16,3,4096,12,2.44140625,7,True,2864.736,2683.3032,3197.9291000000003,256.1659,249.12935,283.9092,51.9373,48.747,55.617549999999994,11.9799,10.93695,14.06395,8540160.0,8527872.0,8546304.0,9904280.0,9904280.0,9904280.0,3929.0,3929.0,3929.0,2809.0,2809.0,2809.0,5682.0,5682.0,5682.0,196.5,196.5,196.5,1271.5,1271.5,1271.5,128039.5,128039.5,128039.5
