phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,process_tree_cpu_seconds_median,process_tree_cpu_seconds_p25,process_tree_cpu_seconds_p75,process_tree_read_bytes_median,process_tree_read_bytes_p25,process_tree_read_bytes_p75,process_tree_write_bytes_median,process_tree_write_bytes_p25,process_tree_write_bytes_p75,commit_operations_per_second_median,commit_operations_per_second_p25,commit_operations_per_second_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s2-payload-128,Revon-M (forced Merkle),3,True,merkle,tree node pairs,111.751271,111.65882400000001,114.4164805,7.285447,7.25335525,7.331455,7.515303,7.3407015,7.655174000000001,10.244861,9.9513845,10.409194,7684096.0,7663616.0,7686144.0,1410000.0,1410000.0,1410000.0,5.449713475177305,5.435188652482269,5.4511659574468085,6274096.0,6253616.0,6276144.0,,,,,,,51908608.0,51900416.0,51937280.0,0.4,0.395,0.4,,,,,,,136.25246054912196,135.2037350310939,136.5585624273636,3813.0,3813.0,3813.0
robustness,robust-s2-range-local,Dolt,3,True,dolt-native,not exposed by Dolt CLI,202.892277,200.0513405,250.82327700000002,135.7756945,132.6826965,138.262149,64.584445,61.549743500000005,64.7233065,73.796808,71.082431,73.86306400000001,738225.0,738103.5,738227.0,450000.0,450000.0,450000.0,1.6405,1.64023,1.6405044444444443,288225.0,288103.5,288227.0,,,,,,,142987264.0,142921728.0,143013888.0,1.86,1.78,2.0,262144.0,262144.0,262144.0,61440.0,61440.0,63488.0,7.2738726828460285,7.1249594682776145,7.45420509987239,,,
robustness,robust-s2-range-local,Revon-H,3,True,log,log operations,98.260827,96.986234,98.316642,6.631426,6.569547,6.662996250000001,4.739011,4.281254,4.8582785,9.506361,9.050931,9.552332,4472832.0,4450304.0,4485120.0,450000.0,450000.0,450000.0,9.939626666666667,9.889564444444446,9.966933333333333,4022832.0,4000304.0,4035120.0,,,,,,,46870528.0,46807040.0,47069184.0,0.35,0.345,0.355,,,,,,,149.86688598386584,147.71893034601493,151.96120775758158,1000.0,1000.0,1000.0
robustness,robust-s2-range-local,Revon-M (forced Merkle),3,True,merkle,tree node pairs,102.333285,96.91239,106.84140550000001,6.912852,6.63128925,7.3453295,6.92099,6.741405,8.188212,8.243835,7.7532145,9.250020500000002,4485120.0,4478976.0,4489216.0,450000.0,450000.0,450000.0,9.966933333333333,9.95328,9.976035555555555,4035120.0,4028976.0,4039216.0,,,,,,,47267840.0,47198208.0,47271936.0,0.38,0.36,0.41000000000000003,,,,,,,142.92855200356027,129.65585377877505,148.26333662024635,3720.0,3720.0,3720.0
robustness,robust-s2-repeated-key,Dolt,3,True,dolt-native,not exposed by Dolt CLI,197.181714,194.08398699999998,201.457686,130.8157195,130.7291275,131.46634699999998,50.244577,50.0680115,51.190374,73.384772,70.687506,74.1169265,804048.0,803952.0,804068.0,450000.0,450000.0,450000.0,1.7867733333333333,1.7865600000000001,1.7868177777777778,354048.0,353952.0,354068.0,,,,,,,146108416.0,145332224.0,146282496.0,1.74,1.72,1.76,,,,61440.0,61440.0,63488.0,7.624177014311531,7.605361740510317,7.645597911787083,,,
robustness,robust-s2-repeated-key,Revon-H,3,True,log,log operations,94.223318,93.82946050000001,94.838367,6.2226300000000005,6.2136765,6.596957,0.547301,0.544278,0.6069675,7.799548,7.77734,7.9118845,4468736.0,4462592.0,4468736.0,450000.0,450000.0,450000.0,9.930524444444444,9.91687111111111,9.930524444444444,4018736.0,4012592.0,4018736.0,,,,,,,46493696.0,46157824.0,46616576.0,0.33,0.33,0.33999999999999997,,,,,,,156.5658348767463,141.01488614395342,157.1352613148326,1000.0,1000.0,1000.0
robustness,robust-s2-repeated-key,Revon-M (forced Merkle),3,True,merkle,tree node pairs,100.76455,98.10942299999999,100.87302,6.601903,6.495912,6.60631475,1.513129,1.4688854999999998,1.646776,7.503849,7.3180875,8.2877785,4460544.0,4458496.0,4474880.0,450000.0,450000.0,450000.0,9.91232,9.907768888888889,9.944177777777778,4010544.0,4008496.0,4024880.0,,,,,,,46522368.0,46043136.0,46548992.0,0.34,0.34,0.34,,,,,,,152.28313381755515,150.6329483229902,154.23978776101816,1881.0,1881.0,1881.0
robustness,robust-s3-baseline,Dolt,3,True,dolt-native,not exposed by Dolt CLI,199.557365,196.086006,201.026595,136.4387585,135.95159375,137.756308,58.561726,58.373121,59.958312,69.026817,68.563583,73.65373149999999,2981007.0,2981004.0,2981233.0,450000.0,450000.0,450000.0,6.62446,6.624453333333333,6.624962222222223,2531007.0,2531004.0,2531233.0,,,,,,,143650816.0,142731264.0,144691200.0,1.9000000000000001,1.8450000000000002,1.9100000000000001,,,,65536.0,65536.0,65536.0,7.301394037859344,7.227216681794654,7.329897392587496,,,
robustness,robust-s3-baseline,Revon-H,3,True,log,log operations,94.79554,93.481289,96.8948335,6.722296500000001,6.4980675,6.839672500000001,4.826508,4.735402,5.4365775,9.027744,8.237675,10.0838505,4513792.0,4507648.0,4515840.0,450000.0,450000.0,450000.0,10.030648888888889,10.016995555555557,10.0352,4063792.0,4057648.0,4065840.0,,,,,,,46739456.0,46739456.0,46868480.0,0.36,0.355,0.365,,,,,,,149.1362364739958,145.23204640321427,153.94652309429586,1000.0,1000.0,1000.0
robustness,robust-s3-baseline,Revon-M (forced Merkle),3,True,merkle,tree node pairs,104.727007,101.77482950000001,107.224466,6.1882645,6.15774825,6.53473125,7.13076,6.947114,7.6974175,7.981285,7.7527645,8.190094,4501504.0,4495360.0,4503552.0,450000.0,450000.0,450000.0,10.003342222222223,9.989688888888889,10.007893333333334,4051504.0,4045360.0,4053552.0,,,,,,,46592000.0,46563328.0,46845952.0,0.36,0.36,0.365,,,,,,,160.03383755461255,153.609565023299,160.8752199411645,3814.0,3814.0,3814.0
