run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,process_tree_cpu_seconds,process_tree_read_bytes,process_tree_write_bytes,commit_operations_per_second,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:36.784245+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,3,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,210.731139,134.502141,59.07632,68.949037,2974329,450000,6.60962,2524329,,not sampled,,149434368,1.81,221184,61440,7.385999323625636,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:39.047367+00:00,robustness,robust-s1-payload-128,Dolt,ok,warmup,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,225.477856,135.185794,60.578379,78.224036,3241729,1410000,2.299098581560284,1831729,,not sampled,,155029504,1.9300000000000002,,61440,7.412775833011741,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:39.556312+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,warmup,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,108.359149,6.8728195,8.351185,10.187941,7651328,1410000,5.4264737588652485,6241328,,not sampled,,52011008,0.38,,,140.15934772306375,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:40.091304+00:00,robustness,robust-s1-payload-128,Revon-H,ok,warmup,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,112.672119,7.746524,5.029235,10.1927,7651328,1410000,5.4264737588652485,6241328,,not sampled,,52133888,0.4,,,128.76309998759882,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:42.335812+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,1,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,232.836282,137.2905805,65.72832,79.090396,3241722,1410000,2.299093617021277,1831722,,not sampled,,154636288,1.94,262144,61440,7.324766392525589,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:42.893709+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,1,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,113.6411,7.496472499999999,7.868964,12.10335,7680000,1410000,5.446808510638298,6270000,,not sampled,,52142080,0.39,,,132.43409172422275,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:43.427901+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,1,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,108.075619,7.0263255000000004,4.382606,9.489422,7675904,1410000,5.443903546099291,6265904,,not sampled,,51957760,0.38,,,140.88409333210518,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:43.956875+00:00,robustness,robust-s1-payload-128,Revon-M (forced Merkle),ok,measured,2,1,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,merkle,merkle,4096,106.716235,7.4337105,9.338723,9.75832,7659520,1410000,5.432283687943262,6249520,,not sampled,,51949568,0.39,,,133.43238107935773,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),3774,tree node pairs,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:44.496864+00:00,robustness,robust-s1-payload-128,Revon-H,ok,measured,2,2,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,hybrid,log,4096,105.179534,6.9980045,4.646904,10.265167,7663616,1410000,5.435188652482269,6253616,,not sampled,,52264960,0.37,,,137.69490576215728,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),1000,log operations,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,
5fad4308defb403ba4504be7949dbc6d,2026-09-23T09:27:46.706132+00:00,robustness,robust-s1-payload-128,Dolt,ok,measured,2,3,20260923,10000,10,100,spread,128,0fc9aace1f3bb3d660d2efc28068cdcde643da622460da8d22bd05b07d19b3e6,dolt-native,dolt-native,4096,231.251255,134.64921850000002,60.983297,81.609962,3241939,1410000,2.2992475177304965,1831939,,not sampled,,152563712,1.8800000000000001,253952,65536,7.427011091206483,external parent process-tree RSS/CPU/I-O sampler (10 ms; psutil or Linux /proc; isolated trial),,not exposed by Dolt CLI,962,True,,3.14.4,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,Dolt 2.3.1
